order_details_id,order_id,pizza_id,quantity
4157,1846,big_meat_s,1
4158,1847,classic_dlx_m,1
4159,1848,classic_dlx_l,1
4160,1848,ital_cpcllo_m,1
4161,1849,five_cheese_l,1
4162,1849,four_cheese_l,1
4163,1849,sicilian_s,1
4164,1850,hawaiian_s,1
4165,1850,mexicana_s,1
4166,1851,big_meat_s,2
4167,1851,cali_ckn_l,1
4168,1851,classic_dlx_m,1
4169,1851,ital_veggie_s,1
4170,1851,napolitana_m,1
4171,1851,pepperoni_s,1
4172,1851,peppr_salami_m,1
4173,1851,soppressata_m,1
4174,1851,spicy_ital_l,1
4175,1851,spinach_fet_s,1
4176,1851,spinach_supr_l,1
4177,1851,thai_ckn_l,1
4178,1852,calabrese_m,1
4179,1852,four_cheese_l,1
4180,1853,ital_supr_m,1
4181,1853,napolitana_m,1
4182,1854,big_meat_s,1
4183,1855,ckn_pesto_s,1
4184,1855,peppr_salami_m,1
4185,1855,southw_ckn_s,1
4186,1855,spinach_fet_m,1
4187,1856,sicilian_m,1
4188,1857,calabrese_l,1
4189,1858,spicy_ital_s,1
4190,1859,peppr_salami_l,1
4191,1860,classic_dlx_l,1
4192,1861,spin_pesto_l,1
4193,1862,cali_ckn_l,1
4194,1862,mexicana_l,1
4195,1863,brie_carre_s,1
4196,1864,peppr_salami_s,1
4197,1865,bbq_ckn_m,1
4198,1865,ckn_alfredo_l,1
4199,1865,prsc_argla_l,1
4200,1865,spin_pesto_l,1
4201,1866,brie_carre_s,1
4202,1866,classic_dlx_m,1
4203,1866,ital_supr_m,1
4204,1866,soppressata_l,1
4205,1866,southw_ckn_s,1
4206,1866,spinach_supr_s,1
4207,1867,spicy_ital_m,1
4208,1868,five_cheese_l,1
4209,1868,spinach_supr_l,1
4210,1869,ital_veggie_m,1
4211,1869,pepperoni_m,1
4212,1869,prsc_argla_l,1
4213,1869,prsc_argla_m,1
4214,1870,big_meat_s,1
4215,1871,ital_cpcllo_l,1
4216,1872,ital_supr_l,1
4217,1872,mexicana_l,1
4218,1872,peppr_salami_l,1
4219,1872,thai_ckn_l,1
4220,1873,cali_ckn_s,1
4221,1873,sicilian_l,1
4222,1874,sicilian_l,1
4223,1875,pepperoni_m,1
